id,date_updated,vehicle_id,vehicle_label,vehicle_current_status,position_latitude,position_longitude,geo_point,position_speed,position_odometer,trip_schedule_relationship,trip_id,trip_start_date,trip_route_id,nom_alcaldia,cve_mun
156,27/01/2021 18:00,1152,466,2,19.43110085,-99.14810181,"19.4311008453,-99.1481018066",6,0,0,9683969,20200428,1,Cuahtemoc,15
157,27/01/2021 18:00,473,515,1,19.43160057,-99.15029907,"19.4316005707,-99.1502990723",6,0,0,9755166,20200428,241,Cuahtemoc,15
158,27/01/2021 18:00,475,517,1,19.43040085,-99.14189911,"19.4304008484,-99.1418991089",8,0,0,9755146,20200428,241,Cuahtemoc,15
159,27/01/2021 18:00,484,526,2,19.43810081,-99.13690186,"19.4381008148,-99.1369018555",10,237,0,9755532,20200428,241,Cuahtemoc,15
160,27/01/2021 18:00,494,536,2,19.43090057,-99.14530182,"19.4309005737,-99.1453018188",0,182,0,9755658,20200428,241,Cuahtemoc,15
161,27/01/2021 18:00,497,539,1,19.42329979,-99.1242981,"19.4232997894,-99.1242980957",6,0,0,9755095,20200428,241,Venustiano Carranza,17
162,27/01/2021 18:00,504,546,2,19.44420052,-99.15239716,"19.4442005157,-99.1523971558",4,70,0,9755580,20200428,241,Cuahtemoc,15
163,27/01/2021 18:00,506,548,1,19.4368,-99.12689972,"19.4368000031,-99.1268997192",4,0,0,9755325,20200428,241,Cuahtemoc,15
164,27/01/2021 18:00,509,551,1,19.44499969,-99.15229797,"19.4449996948,-99.1522979736",0,0,0,9755238,20200428,241,Cuahtemoc,15
165,27/01/2021 18:00,544,601,1,19.44470024,-99.11219788,"19.4447002411,-99.112197876",5,0,0,9679133,20200428,161,Venustiano Carranza,17
166,27/01/2021 18:00,545,602,2,19.47710037,-99.09889984,"19.4771003723,-99.0988998413",16,339,0,9679261,20200428,161,Gustavo A. Madero,5
167,27/01/2021 18:00,559,616,1,19.50720024,-99.08599854,"19.5072002411,-99.0859985352",0,0,0,9679388,20200428,161,Gustavo A. Madero,5
168,27/01/2021 18:00,560,617,2,19.49329948,-99.09149933,"19.4932994843,-99.0914993286",0,0,0,9678800,20200428,161,Gustavo A. Madero,5
169,27/01/2021 18:00,1074,701,1,19.46520042,-99.05979919,"19.4652004242,-99.0597991943",0,0,0,9739247,20200428,61,Gustavo A. Madero,5
170,27/01/2021 18:00,1078,705,2,19.47470093,-99.08850098,"19.4747009277,-99.0885009766",0,430,0,9741423,20200428,61,Gustavo A. Madero,5
171,27/01/2021 18:00,1084,711,2,19.49810028,-99.1678009,"19.4981002808,-99.1678009033",13,217,0,9740759,20200428,61,Azcapotzalco,2
172,27/01/2021 18:00,1100,727,2,19.50230026,-99.1785965,"19.5023002625,-99.1785964966",8,0,0,9740267,20200428,61,Azcapotzalco,2
173,27/01/2021 18:00,1101,728,2,19.51040077,-99.19860077,"19.5104007721,-99.198600769",13,0,0,9740419,20200428,61,Azcapotzalco,2
174,27/01/2021 18:00,1184,735,2,19.46929932,-99.08529663,"19.4692993164,-99.0852966309",12,503,2,,,61,Gustavo A. Madero,5
175,27/01/2021 18:00,1110,757,1,19.5114994,-99.19760132,"19.5114994049,-99.1976013184",6,0,0,9740359,20200428,61,Azcapotzalco,2
176,27/01/2021 18:00,1112,759,2,19.49620056,-99.15940094,"19.4962005615,-99.1594009399",1,0,0,9740199,20200428,61,Azcapotzalco,2
177,27/01/2021 18:00,1126,773,2,19.48380089,-99.11190033,"19.4838008881,-99.1119003296",6,0,0,9739879,20200428,61,Gustavo A. Madero,5
178,27/01/2021 18:00,1130,782,2,19.46730042,-99.08070374,"19.467300415,-99.0807037354",6,0,0,9739615,20200428,61,Gustavo A. Madero,5
179,27/01/2021 18:00,701,801,1,19.47249985,-99.12339783,"19.4724998474,-99.1233978271",8,0,0,9672458,20200428,171,Gustavo A. Madero,5
180,27/01/2021 18:00,717,817,2,19.48800087,-99.11440277,"19.4880008698,-99.114402771",5,621,0,9673076,20200428,171,Gustavo A. Madero,5
181,27/01/2021 18:00,720,820,2,19.4647007,-99.126297,"19.4647006989,-99.1262969971",3,0,0,9673458,20200428,171,Gustavo A. Madero,5
182,27/01/2021 18:00,721,821,1,19.43519974,-99.15019989,"19.4351997375,-99.1501998901",0,0,0,9673925,20200428,171,Cuahtemoc,15
183,27/01/2021 18:00,728,828,1,19.42569923,-99.17050171,"19.425699234,-99.170501709",11,0,0,9671558,20200428,171,Cuahtemoc,15
184,27/01/2021 18:00,737,837,1,19.48679924,-99.11799622,"19.4867992401,-99.1179962158",6,0,0,9672362,20200428,171,Gustavo A. Madero,5
185,27/01/2021 18:00,746,846,1,19.42399979,-99.17990112,"19.4239997864,-99.179901123",7,0,0,9671270,20200428,171,Miguel Hidalgo,16
186,27/01/2021 18:00,754,906,2,19.48719978,-99.11380005,"19.4871997833,-99.1138000488",0,534,0,9670893,20200428,171,Gustavo A. Madero,5
187,27/01/2021 18:00,758,910,2,19.49309921,-99.12090302,"19.4930992126,-99.1209030151",0,1549,0,9672717,20200428,171,Gustavo A. Madero,5
188,27/01/2021 18:00,764,916,2,19.42690086,-99.19979858,"19.4269008636,-99.199798584",0,364,2,,,,Miguel Hidalgo,16
189,27/01/2021 18:00,777,929,2,19.49200058,-99.12030029,"19.4920005798,-99.120300293",0,1412,0,9672021,20200428,171,Gustavo A. Madero,5
190,27/01/2021 18:00,523,1011,2,19.4272995,-99.16139984,"19.4272994995,-99.1613998413",2,0,2,,,367,Cuahtemoc,15
191,27/01/2021 18:00,533,1059,2,19.29649925,-99.18520355,"19.2964992523,-99.1852035522",12,511,0,9732194,20200428,367,Tlalpan,17
192,27/01/2021 18:00,1254,1065,2,19.27910042,-99.16919708,"19.2791004181,-99.1691970825",0,428,2,,,,Tlalpan,17
193,27/01/2021 18:00,1256,1067,2,19.49900055,-99.11959839,"19.4990005493,-99.1195983887",0,0,2,,,,Gustavo A. Madero,5
194,27/01/2021 18:00,1044,1084,2,19.36459923,-99.18199921,"19.3645992279,-99.1819992065",0,483,2,,,367,Benito Juarez,14
195,27/01/2021 18:00,1248,1121,1,19.44709969,-99.15309906,"19.4470996857,-99.1530990601",0,0,0,9733596,20200428,367,Cuahtemoc,15
196,27/01/2021 18:00,1284,1256,2,19.44129944,-99.1548996,"19.4412994385,-99.1548995972",2,257,2,,,367,Cuahtemoc,15
197,27/01/2021 18:00,1072,1309,1,19.49760056,-99.11940002,"19.4976005554,-99.1194000244",0,0,2,,,,Gustavo A. Madero,5
198,27/01/2021 18:00,1216,2315,2,19.38909912,-99.04949951,"19.3890991211,-99.0494995117",9,183,0,9737719,20200428,301,Iztapalapa,7
199,27/01/2021 18:00,1218,2317,2,19.39360046,-99.13200378,"19.3936004639,-99.1320037842",9,507,0,9737108,20200428,301,Benito Juarez,14
200,27/01/2021 18:00,1225,2341,2,19.39769936,-99.1088028,"19.3976993561,-99.1088027954",6,0,0,9735764,20200428,301,Iztacalco,6
201,27/01/2021 18:00,1226,2342,2,19.38929939,-99.05919647,"19.3892993927,-99.0591964722",0,1845,2,,,,Iztapalapa,7
202,27/01/2021 18:00,1227,2343,2,19.39579964,-99.09320068,"19.3957996368,-99.0932006836",13,331,0,9737294,20200428,301,Iztacalco,6
203,27/01/2021 18:00,1238,2347,2,19.4034996,-99.16989899,"19.4034996033,-99.1698989868",7,0,0,9736129,20200428,301,Cuahtemoc,15
204,27/01/2021 18:00,1024,2351,2,19.39089966,-99.04730225,"19.3908996582,-99.0473022461",0,0,0,9737808,20200428,301,Iztapalapa,7
205,27/01/2021 18:00,10002,2358,2,19.39730072,-99.104599,"19.3973007202,-99.104598999",7,0,0,9737246,20200428,301,Iztacalco,6
206,27/01/2021 18:00,1232,2363,2,19.39389992,-99.13749695,"19.3938999176,-99.1374969482",14,0,0,9735896,20200428,301,Benito Juarez,14
207,27/01/2021 18:00,1235,2366,2,19.39509964,-99.14579773,"19.3950996399,-99.1457977295",0,276,0,9736965,20200428,301,Benito Juarez,14
